robust,1
unnerving,-1
humor,1
limits,-1
get-rich,-1
simplified,1
idyllic,1
prudently,1
grin,1
prodigiously,1
inoperable,-1
denunciations,-1
compassion,1
flat-out,-1
accusation,-1
confessions,-1
adequate,1
intermittent,-1
peps,1
merciful,1
healthful,1
refund,1
lurch,-1
questionable,-1
incoherent,-1
flirty,-1
hostile,-1
bruising,-1
steadfastly,1
honesty,1
checkered,-1
useless,-1
inexpertly,-1
admiring,1
facetiously,-1
moronic,-1
louder,-1
bright,1
deplorably,-1
satisfactorily,1
stutters,-1
motionless,-1
gutsy,1
uncivilized,-1
mockeries,-1
full-blown,-1
painful,-1
divinely,1
achey,-1
misalign,-1
mishandle,-1
glitz,1
shocking,-1
illness,-1
cost-saving,1
stammer,-1
sufficient,1
meritorious,1
combust,-1
pep,1
unreadable,-1
soundness,1
affirm,1
successful,1
negation,-1
kindliness,1
revive,1
proud,1
precariously,-1
anxieties,-1
impersonal,-1
hater,-1
flutter,1
filth,-1
fat-cat,-1
elated,1
falter,-1
onerously,-1
entrancing,1
occluded,-1
affinity,1
trump,1
risk,-1
defeat,1
irretating,-1
grief,-1
unreasonable,-1
fecilitous,1
squeaks,-1
burdensomely,-1
dismalness,-1
prickles,-1
panoramic,1
grumpier,-1
believeable,1
fathomless,-1
achievable,1
preeminent,1
well-being,1
loved,1
restructuring,1
roomy,1
ostracize,-1
handsomely,1
stubborn,-1
fumble,-1
snobish,-1
promise,1
pepping,1
luck,1
navigable,1
boisterous,-1
unjustifiable,-1
allege,-1
omission,-1
ecenomical,1
hands-down,1
bliss,1
repugnantly,-1
vindictiveness,-1
idiots,-1
whores,-1
exagerate,-1
radically,-1
sensationally,1
crueler,-1
bountiful,1
atrocity,-1
depressing,-1
ultimatums,-1
economical,1
flakieness,-1
achievements,1
slave,-1
polarisation,-1
enterprising,1
bigotries,-1
serenity,1
casualty,-1
injury,-1
ineloquent,-1
recoil,-1
oddest,-1
emaciated,-1
election-rigger,-1
selfish,-1
awards,1
infamous,-1
felicity,1
tender,1
majestic,1
cocky,-1
ardent,1
toll,-1
capricious,-1
vengeance,-1
abundance,1
exhaust,-1
frustrations,-1
feasibly,1
bravo,1
topple,-1
sloww,-1
subversive,-1
cleaner,1
impressiveness,1
embarrass,-1
achievible,1
inpressed,1
unrestricted,1
maliciously,-1
lucidly,1
sweetness,1
unpredictable,-1
expunge,-1
strong,1
obese,-1
clog,-1
leech,-1
tremendously,1
unusably,-1
fatefully,-1
bleakness,-1
astounding,1
scariest,-1
disvalue,-1
fiery,1
fervently,1
accessible,1
dejected,-1
masterpiece,1
smash,-1
clever,1
scared,-1
luminous,1
reassurance,1
tragically,-1
unsuccessfully,-1
confounding,-1
treasonous,-1
reluctant,-1
disaffect,-1
sumptuousness,1
harmonize,1
self-serving,-1
dupe,-1
tension,-1
dissenter,-1
adulterier,-1
gratifies,1
concede,-1
caricature,-1
blurring,-1
ungovernable,-1
dubiously,-1
bitchy,-1
inequality,-1
stimulating,1
disappoints,-1
ignominious,-1
uncollectible,-1
anger,-1
productively,1
hardy,1
exultant,1
intolerable,-1
quarrellously,-1
alarmingly,-1
glorify,1
well-intentioned,1
prodigy,1
inconveniently,-1
complaint,-1
brotherly,1
deign,-1
overrated,-1
merriment,1
masterful,1
unconditional,1
slow,-1
youthful,1
marvellous,1
obliterate,-1
sophisticated,1
reconciliation,1
rejoicing,1
condescendingly,-1
uncouth,-1
belated,-1
smut,-1
malign,-1
nepotism,-1
castrated,-1
blameless,1
ethical,1
intolerablely,-1
gaining,1
vehemently,-1
poverty,-1
disconcerting,-1
uplift,1
enthral,1
sweeten,1
mind-blowing,1
feverish,-1
ardor,1
mawkish,-1
loathly,-1
lavishly,1
gimmicked,-1
stiflingly,-1
harangue,-1
slow-moving,-1
obsessively,-1
dumb,-1
tenacious,1
bulky,-1
protective,1
senile,-1
dissed,-1
integrated,1
warmly,1
whoooa,1
draconian,-1
sarcastically,-1
anarchy,-1
loud,-1
honest,1
bungling,-1
smitten,1
ridicule,-1
scorchingly,-1
trapped,-1
repressive,-1
monumentally,1
invincible,1
intrude,-1
assuredly,1
hassle,-1
complements,1
chaff,-1
breathtakingly,1
loophole,-1
improving,1
innuendo,-1
thirst,-1
disconcerted,-1
fail,-1
beauteous,1
seamless,1
superior,1
sociable,1
epidemic,-1
breathtaking,1
conspiracy,-1
licentiously,-1
swift,1
radical,-1
jollify,1
restored,1
impunity,-1
expired,-1
harmoniously,1
resounding,1
witty,1
euphorically,1
weakening,-1
windfall,1
backache,-1
redeem,1
alienated,-1
inventive,1
recomend,1
patiently,1
boom,1
exquisitely,1
flexibility,1
crisp,1
trustworthiness,1
success,1
freedom,1
queer,-1
deficiency,-1
delectable,1
depressingly,-1
misconception,-1
splendid,1
precarious,-1
ingenuity,1
sumptuous,1
threesome,-1
lecherous,-1
rejuvenate,1
cashback,1
wilt,-1
vulgar,-1
inexcusably,-1
apologist,-1
erode,-1
remunerate,1
elation,1
brazen,-1
fertile,1
traitorous,-1
squabble,-1
mistress,-1
bullish,1
agility,1
improve,1
skillful,1
rivalry,-1
illusion,-1
acumen,1
ideal,1
unbeatable,1
rejects,-1
violator,-1
struggle,-1
limitation,-1
cleanly,1
arduous,-1
trivially,1
tramp,-1
fun,1
blather,-1
unjustified,-1
stable,1
smelled,-1
personages,1
broke,-1
bitterness,-1
acclamation,1
supremely,1
unkindly,-1
flairs,-1
oppression,-1
defile,-1
mocked,-1
assassinate,-1
poky,-1
scathingly,-1
limited,-1
complemented,1
obsession,1
rattle,-1
sadden,-1
maniacal,-1
graceless,-1
reward,1
overture,1
forged,-1
revival,1
disliking,-1
chafe,-1
insultingly,-1
derision,-1
incomplete,-1
valiant,1
ominous,-1
solace,1
stellarly,1
sinking,-1
insulted,-1
awkwardness,-1
enlighten,1
staunchness,1
misunderstanding,-1
warning,-1
titillate,1
inconsequent,-1
haggle,-1
right,1
damaged,-1
troublingly,-1
trivialize,-1
hotheaded,-1
distract,-1
prize,1
anguish,-1
instigate,-1
passive,-1
soapy,-1
orderly,1
useful,1
discompose,-1
thoughtfully,1
discourteous,-1
unleash,-1
decayed,-1
liberty,1
bewildering,-1
unworkable,-1
stylish,1
dreadfully,-1
splendor,1
weak,-1
dextrous,1
detestable,-1
pretence,-1
inelegance,-1
imperfect,-1
skimpy,-1
tranquil,1
guile,-1
genius,1
uncomplicated,1
debase,-1
glow,1
reclaim,1
foolhardy,-1
revives,1
nebulously,-1
blossom,1
scoff,-1
greasy,-1
contemptuous,-1
realizable,1
monster,-1
calumnies,-1
mischievous,-1
mundane,-1
dominated,1
bemoan,-1
temerity,-1
problem-solver,1
overtaxed,-1
aggression,-1
grandeur,1
harasses,-1
infallible,1
glower,-1
exploitation,-1
whoa,1
diametrically,-1
unprepared,-1
snappishly,-1
fucking,-1
loathe,-1
misinform,-1
guidance,1
tangles,-1
magnificent,1
second-class,-1
fluent,1
explode,-1
intricate,1
joker,-1
inconsiderately,-1
frustration,-1
cravenly,-1
uncooperative,-1
user-replaceable,1
disrespectablity,-1
heartwarming,1
hot,1
stellar,1
jerk,-1
vociferous,-1
repetitive,-1
congenial,1
benevolent,1
ecstasies,1
unrelentingly,-1
charmingly,1
devilment,-1
unsuspecting,-1
egregious,-1
gladden,1
insociable,-1
contemptuously,-1
adulteration,-1
wonderous,1
idealize,1
inviolable,1
overstatements,-1
ovation,1
reasoned,1
triumphantly,1
disturbance,-1
womanizing,-1
assult,-1
uplifting,1
insults,-1
melancholy,-1
deprived,-1
scandel,-1
deprave,-1
disdained,-1
swanky,1
laughably,-1
sucked,-1
refutation,-1
pique,-1
glum,-1
drag,-1
belligerently,-1
romantically,1
jealousy,-1
geeky,1
slogged,-1
talented,1
appalling,-1
miracles,1
noises,-1
approval,1
miscalculation,-1
slump,-1
improves,1
strained,-1
biased,-1
flourishing,1
usable,1
overtook,1
showdown,-1
autonomous,1
mature,1
overemphasize,-1
jubilate,1
hopelessness,-1
irritations,-1
downgrade,-1
resourcefulness,1
traduce,-1
prestigious,1
inviolate,1
cataclysm,-1
treasure,1
contrive,-1
liable,-1
oversights,-1
diversified,1
entrapment,-1
condemnation,-1
impudently,-1
unjust,-1
painless,1
ironies,-1
exhort,-1
subsidizes,1
wrinkles,-1
modesty,1
reasonably,1
heroine,1
aground,-1
trumpet,1
savings,1
gasp,-1
healthy,1
terrorize,-1
fascinating,1
decadent,-1
redemption,1
peculiar,-1
slick,1
clamorous,-1
respectfully,1
bulkier,-1
stumped,-1
blunders,-1
unwillingly,-1
rhapsodize,-1
low-price,1
enjoyed,1
disarray,-1
graciously,1
smiling,1
snobby,-1
jeering,-1
modest,1
deceive,-1
pleas,-1
gainful,1
empower,1
displeased,-1
eyesore,-1
seedy,-1
fist,-1
demeaning,-1
ebulliently,1
revolutionized,1
lucid,1
surreal,1
occludes,-1
vainly,-1
indiscreetly,-1
egotistical,-1
dazzling,1
affordably,1
worthlessly,-1
famed,1
work,1
scornfully,-1
bashful,-1
cheapest,1
hurting,-1
egotistically,-1
exaltedly,1
miraculousness,1
protection,1
loathsomely,-1
hypocritically,-1
amazingly,1
clearly,1
fundamentalism,-1
lament,-1
cheaper,1
wieldy,1
stunningly,1
frighteningly,-1
remorse,-1
surmount,1
farfetched,-1
gains,1
uncomfy,-1
calumniously,-1
glare,-1
acclaim,1
allegation,-1
sturdy,1
assail,-1
renowned,1
enlightenment,1
bitterly,-1
lifeless,-1
opponent,-1
disingenuously,-1
constructive,1
nettle,-1
deserving,1
fruitless,-1
despised,-1
weariness,-1
forgetful,-1
prison,-1
affordable,1
unrivaled,1
diss,-1
credence,1
acrid,-1
concise,1
beggar,-1
conspiracies,-1
stylishly,1
merriness,1
unorthodoxy,-1
lesser-known,-1
openly,1
drowning,-1
totalitarian,-1
ineffectual,-1
insignificantly,-1
stolen,-1
variety,1
debacle,-1
vengefulness,-1
stringent,-1
asperse,-1
imminence,-1
